room,superplayoff_bracket
John Wayne A,I
John Wayne B,I
McCarran A,I
McCarran B,I
Mirabel,II
Barajas,II
Narita A,II
Narita B,II
Tegel,crossover
Capital A,crossover
Da Vinci A,crossover
Da Vinci B,crossover
Gatwick,crossover
JFK,crossover
Malpensa,29th
Florence,29th
SeaTac A,33rd
SeaTac B,33rd
Lindbergh A,37th
Lindbergh B,37th
Sky Harbor A,41st
Sky Harbor B,41st
Lambert A,45th
Lambert B,45th
Paris,49th
2040,49th
Vienna,53rd
LaGuardia,53rd
2140,57th
2240,57th
2340,61st
2440,61st
2540,65th
2932,65th
2740,69th
2918,69th
936,73rd
956,73rd
953,77th
916,77th
1029,81st
1031,81st
1049,85th
1051,85th
Heathrow A,89th
Heathrow B,89th
London,93rd
Ronald Reagan,93rd
